year_built,property_id,lot_sqft,sqft,baths,garages,beds,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
1981,5037801826,35284,2440,3,2,4,315159.1268387802,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1
1960,8825774453,8146,1005,1,2,3,218214.8821925359,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0
1910,3508408345,2178,1000,1,0,3,168798.8300497242,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1
1966,4874535639,10890,1100,1,0,3,152636.0884458453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,8600539097,6621,1078,2,1,2,218214.8821925359,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1
1940,5092705900,601,581,1,0,1,544855.9814078703,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0
2018,5417798604,1080,1368,3,0,4,544855.9814078703,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
1934,1031589143,16117,1308,2,0,2,532575.9251274393,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1910,3206762368,9583,1055,1,0,2,1620605.566436008,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1
1920,4912759339,3920,3150,3,0,6,679592.8523411672,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1983,5621919948,1216,1086,2,0,1,899684.7992089129,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1
1920,4275891291,1497,1497,1,2,1,1620605.566436008,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1
2018,6292843165,10376,1943,2,2,2,321857.4254205781,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1
1992,7613907342,8712,1600,2,2,3,301804.4686227,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1963,5621068610,47916,1850,3,2,4,321857.4254205781,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1
1935,8119188644,7100,1252,1,1,3,333790.2440589154,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0
1900,4688508609,871,1528,1,0,4,264205.4386292041,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
1978,7473762666,871,1170,3,2,2,376289.33746527263,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1
1979,8493845908,4400,1850,2,2,2,333790.2440589154,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1
2003,1320993396,3500,1356,3,1,3,495973.3704267919,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1
1940,3277444703,3485,1038,1,1,2,234192.1707274125,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0
