year_built,permalink,property_id,listing,primary_photo,sold_date,lot_sqft,sqft,baths,garages,beds,postal_code,state,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
2001,553-Page-Ct-NE_Salem_OR_97301_M15687-91095,1568791095,2960857752,https://ap.rdcpix.com/12e0ea4c8a09b2f72f9d38b17ed3e557l-m2517730544s-w1024_h768.jpg,2024-01-05,4792,1208,2,2,3,97301,Oregon,Salem,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0
1929,262-South-St_Hartford_CT_06114_M46838-25605,4683825605,2957490318,https://ap.rdcpix.com/ca2b49760c6ba08fbf84033c119038dfl-m177556363s-w1024_h768.jpg,2024-01-05,7405,3834,3,3,7,6114,Connecticut,Hartford,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1983,15-Abbottsford-Ct_Providence_RI_02906_M38090-24878,3809024878,2961621220,https://ap.rdcpix.com/8df0cfd261fc034d9557235477070c6bl-b1012958641s-w1024_h768.jpg,2024-01-08,7876,4952,2,2,2,2906,Rhode Island,Providence,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0
2007,21-Wildberry-Dr_Dover_DE_19904_M97747-16745,9774716745,2958404111,https://ap.rdcpix.com/27a4fd59238f3cffd7e51dfbee26db5el-m1347810000s-w1024_h768.jpg,2023-12-06,21970,4182,4,4,3,19904,Delaware,Dover,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0
1950,191-Rankin-Ave_Providence_RI_02908_M31385-65083,3138565083,2960721202,https://ap.rdcpix.com/9e3c0fd27294d2f1ad0eb274736f8541l-m381499327s-w1024_h768.jpg,2024-01-03,10001,2450,2,2,4,2908,Rhode Island,Providence,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0
1930,36-Frost-Pl_Albany_NY_12205_M42102-78286,4210278286,2961419703,https://ap.rdcpix.com/3df212dda7ec64f760cab330d9c28bf8l-m256244129s-w1024_h768.jpg,2024-01-09,3920,1608,3,2,5,12205,New York,Albany,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1
2003,808-Morningwood-Pl_Antioch_TN_37013_M81460-83955,8146083955,2957690612,https://ap.rdcpix.com/e310a160a253f68513d0180a33567801l-m243125400s-w1024_h768.jpg,2023-09-26,9583,2066,2,0,3,37013,Tennessee,Antioch,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1
1950,2306-Fleet-Ave_Henrico_VA_23228_M55373-55269,5537355269,2962543563,https://ap.rdcpix.com/42fc054224d868f167e8a30e46c21fe7l-m2389161625s-w1024_h768.jpg,2024-01-12,7841,1431,2,0,4,23228,Virginia,Henrico,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1961,3330-Glenbrook-Dr_Lansing_MI_48911_M48965-27437,4896527437,2961886799,https://ap.rdcpix.com/3a2606119671b97434ca96114bd6e605l-m417428063s-w1024_h768.jpg,2023-12-29,11761,1312,1,0,3,48911,Michigan,Lansing,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1
2017,3614-Silverado-Dr_Carson-City_NV_89705_M18402-85103,1840285103,2959347255,https://ap.rdcpix.com/8d961d060536367b02da4a418be2a614l-m77174668s-w1024_h768.jpg,2024-01-05,50965,2573,5,9,3,89705,Nevada,Carson City,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0
1966,6110-Raymond-Rd_Madison_WI_53711_M79940-01276,7994001276,2962092649,https://ap.rdcpix.com/f9c0934c5e90cefca588e6301ff46280l-m556667035s-w1024_h768.jpg,2024-01-04,7405,1200,2,1,3,53711,Wisconsin,Madison,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1
1940,2531-Penbrook-Ave_Harrisburg_PA_17103_M35236-46630,3523646630,2960919368,https://ap.rdcpix.com/b299b156f4f57605b419676e9360fb59l-b4029543112s-w1024_h768.jpg,2024-01-12,3920,728,1,0,2,17103,Pennsylvania,Harrisburg,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0
1929,2641-Milwaukee-St_Madison_WI_53704_M73012-72191,7301272191,2962081429,https://ap.rdcpix.com/671dabc6bcadc91db1ba76034cf6dd5cl-m3825750078s-w1024_h768.jpg,2024-01-08,6098,1872,2,2,4,53704,Wisconsin,Madison,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1
1900,208-Myrtle-Ave_Albany_NY_12202_M92066-91883,9206691883,2960709455,https://ap.rdcpix.com/404906900e264d627f7677307ab49cdfl-m233244151s-w1024_h768.jpg,2024-01-05,2178,2850,3,0,3,12202,New York,Albany,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1986,9818-Windward-Dr-NW_Olympia_WA_98502_M22609-11850,2260911850,2961043376,https://ap.rdcpix.com/e5134c53be57d5b61b6f7cc4ed9be9b3l-m3827733899s-w1024_h768.jpg,2024-01-11,10659,1440,2,2,2,98502,Washington,Olympia,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
2004,2738-W-Tharpe-St-Apt-505_Tallahassee_FL_32303_M58305-08890,5830508890,2961419614,https://ap.rdcpix.com/65b8a559c8a012d7275e8e8281eff8c1l-m1648329819s-w1024_h768.jpg,2024-01-11,871,1209,3,0,3,32303,Florida,Tallahassee,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1
1919,585-Annapolis-St-E_Saint-Paul_MN_55118_M73365-08531,7336508531,2961096162,https://ap.rdcpix.com/48dfd12c3275b774eb1cc5fdd1983fc8l-b588511907s-w1024_h768.jpg,2024-01-08,5140,571,2,1,1,55118,Minnesota,Saint Paul,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
