,year_built,tags,permalink,status,list_price,property_id,listing,primary_photo,sold_date,sold_price,lot_sqft,sqft,baths,garages,beds,postal_code,state,city
60,1950.0,"['carport', 'community_outdoor_space', 'basement', 'single_story']",256-Perry-Hill-Rd_Montgomery_AL_36109_M70561-13344,sold,105000.0,7056113344,2959876046,https://ap.rdcpix.com/8d3b70ca02d22b97f9e669584b946e4el-m1202318012s-w1024_h768.jpg,2024-01-05,100000,15682.0,1471.0,1.0,,3.0,36109,Alabama,Montgomery
61,1971.0,"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'single_story', 'master_bedroom', 'open_floor_plan', 'floor_plan']",6212-Hinchcliff-Rd_Montgomery_AL_36117_M79476-55529,sold,95500.0,7947655529,2962219368,https://ap.rdcpix.com/bb6187d68e068cd5dcffe91b8d3d66efl-m700922381s-w1024_h768.jpg,2024-01-05,95900,10664.0,1200.0,2.0,,3.0,36117,Alabama,Montgomery
62,1940.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'tennis_court', 'new_roof', 'tennis']",2188-Woodley-Rd_Montgomery_AL_36111_M82617-36041,sold,410000.0,8261736041,2959870684,,2024-01-04,375000,30056.0,4483.0,4.0,2.0,4.0,36111,Alabama,Montgomery
63,2004.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_park', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'lake_view', 'laundry_room', 'recreation_facilities', 'water_view', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'modern_kitchen', 'large_kitchen', 'pond', 'clubhouse', 'trails', 'hoa', 'maintenance']",861-Somerset-Dr_Montgomery_AL_36117_M87827-79002,sold,334900.0,8782779002,2962186447,https://ap.rdcpix.com/5a8d93258c6ec619823ff5ac29916241l-m2287927989s-w1024_h768.jpg,2024-01-04,320000,9583.0,2488.0,2.0,2.0,3.0,36117,Alabama,Montgomery
64,1971.0,"['central_air', 'central_heat', 'city_view', 'single_story']",3223-Babette-Cir_Montgomery_AL_36116_M71524-86220,sold,119900.0,7152486220,2960272346,https://ap.rdcpix.com/47d091afe9a414d8ecf363fa8627f13cl-m2264284966s-w1024_h768.jpg,2024-01-04,120000,10019.0,1747.0,2.0,,3.0,36116,Alabama,Montgomery
65,1994.0,"['central_air', 'central_heat', 'city_view', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'swimming_pool', 'fenced_yard', 'floor_plan', 'new_roof', 'shopping']",2349-Brookstone-Dr_Montgomery_AL_36117_M71940-45969,sold,289900.0,7194045969,2961543302,https://ap.rdcpix.com/22dae1c10863474a4ec207164c4ddb23l-m177292656s-w1024_h768.jpg,2024-01-03,283000,13747.0,2069.0,2.0,2.0,4.0,36117,Alabama,Montgomery
66,1994.0,"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'swimming_pool', 'floor_plan', 'big_lot', 'park', 'groundscare', 'maintenance', 'shopping']",8332-Old-Federal-Rd_Montgomery_AL_36117_M75589-16813,sold,289900.0,7558916813,2961717690,https://ap.rdcpix.com/debca25133b4644c07a1918f7fedc190l-m1318092139s-w1024_h768.jpg,2024-01-02,284500,15682.0,2124.0,2.0,,4.0,36117,Alabama,Montgomery
67,1989.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'single_story', 'jack_and_jill_bathroom', 'master_bedroom', 'two_master_suites', 'master_suite']",4040-Chambers-Pl_Montgomery_AL_36109_M75323-34823,sold,175000.0,7532334823,2961447588,https://ap.rdcpix.com/2762acb72eebcf86d50c80a800262278l-m2519535199s-w1024_h768.jpg,2024-01-02,160000,4792.0,1475.0,2.0,,2.0,36109,Alabama,Montgomery
68,2022.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'energy_efficient', 'laundry_room', 'recreation_facilities', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'big_bathroom', 'master_bedroom']",7107-Fain-Park-Dr_Montgomery_AL_36117_M97024-16423,sold,439900.0,9702416423,2959892239,https://ap.rdcpix.com/edcb73416e181a3c9b2c85d6a6a6f387l-m2382958776s-w1024_h768.jpg,2024-01-02,439900,4356.0,3050.0,4.0,2.0,4.0,36117,Alabama,Montgomery
69,1968.0,"['central_air', 'central_heat', 'community_outdoor_space', 'recreation_facilities', 'swimming_pool', 'single_story', 'investment_opportunity']",201-Eagerton-Rd_Montgomery_AL_36116_M73072-57977,sold,101200.0,7307257977,2959976130,https://ap.rdcpix.com/1b57dd0074430e3f535b27b6b771d69el-m3916576073s-w1024_h768.jpg,2024-01-02,68250,18731.0,2556.0,2.0,,3.0,36116,Alabama,Montgomery
