year_built,property_id,sold_date,lot_sqft,sqft,baths,garages,beds,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
1990,1220020515,2024-01-12,5101,1044,2,2,2,Antelope,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
1930,3416651402,2024-01-08,6534,1632,2,0,4,Albany,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0
2022,9702416423,2024-01-02,4356,3050,4,2,4,Montgomery,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0
1953,6022099309,2024-01-09,15483,1848,2,0,4,Annapolis,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1
1969,1387377338,2024-01-04,8276,2160,3,0,7,Salem,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1930,1871886378,2023-12-29,6098,1424,2,1,3,Salem,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0
1982,8120325607,2024-01-10,17860,2851,3,2,4,Little Rock,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0
1905,9605106566,2024-01-04,5227,3016,3,0,8,Providence,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1994,3230593556,2024-01-09,2178,1600,3,1,3,Harrisburg,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
1939,8586763935,2024-01-12,5968,1600,1,2,3,Saint Paul,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1
2004,6563723524,2024-01-12,17860,3616,3,2,4,Richmond,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
1968,7307257977,2024-01-02,18731,2556,2,0,3,Montgomery,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1989,3953654826,2023-09-19,14375,1520,3,2,4,Indianapolis,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0
1969,7877200673,2024-01-05,8712,1700,2,0,4,Little Rock,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1972,2912860070,2024-01-11,7266,1139,2,2,4,Sacramento,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0
1950,4574962799,2024-01-03,11761,1448,2,2,2,Albany,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0
1980,2689175209,2024-01-03,2324,120,0,0,0,Olympia,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2021,9153561489,2024-01-02,1742,1460,3,1,3,Carson City,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
1943,1370982891,2023-10-31,6250,1717,3,2,3,Denver,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1920,9931818866,2024-01-02,3202,3201,3,2,6,Providence,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1977,2591419335,2023-12-26,37462,2903,3,2,3,Phoenix,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1969,5204826220,2023-10-24,9583,1053,1,0,3,Columbia,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
1960,1112092048,2024-01-11,8276,1092,2,2,3,Sacramento,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0
2000,3741790117,2023-10-11,5663,1469,3,2,3,Columbus,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0
1920,4054897953,2024-01-12,2404,1052,1,0,3,Boston,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1998,7590124670,2024-01-12,10890,1830,2,0,3,Little Rock,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1971,1489826213,2023-12-20,6970,1867,2,2,3,Carson City,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1
1910,4542127284,2023-07-27,4792,1214,1,1,3,Charleston,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0
1956,2282094344,2023-12-22,7410,2155,2,0,5,Phoenix,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1850,3367771049,2023-08-09,8712,1354,1,0,3,Concord,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1890,7955547624,2024-01-05,4922,1225,2,0,4,Saint Paul,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
2006,9619592614,2024-01-12,5760,2277,3,2,4,Olympia,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
1984,8125196929,2024-01-12,6970,1318,2,2,3,Oklahoma City,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0
1958,8610499283,2024-01-05,8276,1538,1,2,3,Madison,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0
1900,5924166673,2024-01-11,4090,2535,3,2,3,Richmond,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0
1948,1932647687,2024-01-12,6199,1330,2,2,3,Sacramento,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0
1985,2661504436,2024-01-10,4953,1131,2,2,3,Sacramento,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0
2005,9223846849,2024-01-11,1045,1059,2,0,2,Atlanta,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
1967,8164375970,2023-12-11,12480,2034,2,0,4,Nashville,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0
1909,7029942961,2024-01-10,5358,3580,2,2,6,Saint Paul,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1981,3284205062,2024-01-08,4792,1644,2,0,3,Lansing,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
1941,8062716251,2024-01-05,5532,1262,1,1,2,Saint Paul,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0
2014,7743740661,2024-01-05,131987,3529,4,3,4,Little Rock,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0
1956,4094261184,2024-01-05,14810,1290,1,1,3,Guilderland,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1
1944,6579453787,2024-01-12,39640,1332,2,0,3,Richmond,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1978,7899123899,2024-01-01,26136,1500,2,0,4,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1923,4721026003,2023-12-21,10890,1894,2,1,3,Hartford,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1
1956,8275547429,2024-01-12,10454,1076,1,1,3,Lincoln,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1
1986,5041760606,2024-01-12,85813,2774,3,2,5,Annapolis,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
1976,4420295532,2023-12-20,220849,1776,1,0,3,Frankfort,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1996,2601504618,2024-01-05,10454,2174,2,3,3,Carson City,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0
1950,3616897910,2023-07-21,52272,3858,2,0,3,Charleston,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
1959,4569472599,2023-10-31,15246,1394,2,2,3,Indianapolis,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1932,9815633782,2023-12-11,3920,1960,3,2,5,Trenton,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0
1978,8192286356,2024-01-03,3920,1431,2,2,3,Madison,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1
2000,3900826424,2023-12-29,9148,2274,2,2,2,Loudonville,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1
1963,6310233950,2024-01-12,11757,1448,2,0,4,Henrico,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0
1875,3816697779,2024-01-11,29621,2966,2,0,4,Harrisburg,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
1940,4809329776,2023-12-22,22695,1970,2,0,3,Frankfort,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1993,2870588874,2023-12-21,6534,2573,3,2,4,Carson City,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1
1900,3114440688,2024-01-12,871,1608,6,0,5,Harrisburg,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2021,8197604562,2024-01-05,23958,2755,3,2,3,Madison,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0
1905,9605106566,2024-01-04,5227,3016,3,0,8,Providence,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1968,8310899358,2024-01-12,6970,1269,2,2,3,Oklahoma City,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1922,8671199634,2024-01-08,6142,2286,3,2,4,Saint Paul,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1
2020,9381495658,2023-08-25,2178,1258,3,1,2,Indianapolis,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
1880,4555289897,2024-01-04,3920,1986,2,2,4,Providence,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
1979,8493845908,2024-01-12,4400,1850,2,2,2,Lincoln,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1
1975,9481871892,2024-01-04,871200,3060,3,8,4,Carson City,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1
2015,7562349221,2024-01-08,4684,2304,3,2,3,Lincoln,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1
1940,7473198847,2024-01-05,6621,1386,2,2,3,Des Moines,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1
1960,8825774453,2024-01-10,8146,1005,1,2,3,Des Moines,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0
