,year_built,permalink,list_price,property_id,listing,primary_photo,sold_date,sold_price,lot_sqft,sqft,baths,garages,beds,postal_code,state,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
85,2006,8979-Pennington-Pl_Montgomery_AL_36117_M75827-27824,320000.0,7582727824,2959156747,https://ap.rdcpix.com/3f90cdabc4c809f4fa1bab1a9c9f69e3l-b3996110015s-w1024_h768.jpg,2024-01-11,310000.0,13068,2134,2,2,4,36117,Alabama,Montgomery,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1
86,1986,3139-Sutton-Dr_Montgomery_AL_36111_M70129-48010,145000.0,7012948010,2960865829,https://ap.rdcpix.com/c79ab0203ab07b75961087a8da4576eal-b3801220453s-w1024_h768.jpg,2024-01-10,147000.0,6970,1650,2,0,3,36111,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
87,1968,5728-Carriage-Hills-Dr_Montgomery_AL_36116_M74740-45814,215000.0,7474045814,2958028203,https://ap.rdcpix.com/0fb0892ae99e35a037e46c14d9210eafl-m3337937336s-w1024_h768.jpg,2024-01-10,195000.0,16553,2264,2,2,5,36116,Alabama,Montgomery,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0
88,1968,4760-Queensbury-Ct_Montgomery_AL_36116_M81606-53135,136000.0,8160653135,2961502665,https://ap.rdcpix.com/657c8bb805ac466f65c35abbf0280f15l-m3716669313s-w1024_h768.jpg,2024-01-09,136000.0,16988,1752,2,2,3,36116,Alabama,Montgomery,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
89,1958,1313-Adrian-Ln_Montgomery_AL_36111_M73159-20123,31500.0,7315920123,2963067396,https://ap.rdcpix.com/558260924a958b13ebfadc6f55f97d8el-m3617901769s-w1024_h768.jpg,2024-01-09,31500.0,11326,961,1,0,3,36111,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
90,1975,729-Ledyard-Pl_Montgomery_AL_36109_M81829-35020,169900.0,8182935020,2962227212,https://ap.rdcpix.com/c51a6a656aece95d96a00d160fb8be87l-m364873135s-w1024_h768.jpg,2024-01-08,172500.0,11326,1699,2,0,4,36109,Alabama,Montgomery,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1
91,1967,511-E-Moye-Dr_Montgomery_AL_36109_M86565-36510,184900.0,8656536510,2961407982,https://ap.rdcpix.com/507ad2927a9339560b3ad0e2cd538a31l-m1808079882s-w1024_h768.jpg,2024-01-08,178000.0,12632,1892,2,0,4,36109,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
92,1962,540-Seibles-Rd_Montgomery_AL_36116_M74638-46561,159000.0,7463846561,2960840384,https://ap.rdcpix.com/8475783f8e68aa2647f11714670c67bal-m3352885094s-w1024_h768.jpg,2024-01-08,150000.0,67954,1833,2,2,3,36116,Alabama,Montgomery,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
93,1945,7370-Narrow-Lane-Rd_Montgomery_AL_36116_M94388-57823,180000.0,9438857823,2959489307,https://ap.rdcpix.com/db0008abd1e8694dbc1a432cca961a96l-m3474430148s-w1024_h768.jpg,2024-01-08,170000.0,313632,3092,3,0,3,36116,Alabama,Montgomery,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
94,1957,4006-Marquette-Dr_Montgomery_AL_36109_M81639-98846,125000.0,8163998846,2961396128,https://ap.rdcpix.com/98113967cb2fcc6a2b9a4e48c6e7cc2dl-m4232325385s-w1024_h768.jpg,2024-01-05,125000.0,12632,1380,1,0,3,36109,Alabama,Montgomery,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
95,1984,6032-Bolingbrook-Dr_Montgomery_AL_36117_M89657-92046,180000.0,8965792046,2961496687,https://ap.rdcpix.com/99a9502de91720e504c50e34162433f8l-m3674213732s-w1024_h768.jpg,2024-01-05,162000.0,6098,1539,2,0,3,36117,Alabama,Montgomery,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1
96,1950,2802-Cherry-St_Montgomery_AL_36107_M82105-00445,118900.0,8210500445,2961489340,https://ap.rdcpix.com/d617c4e73f24e51446b05f256c1ae38bl-m1962391460s-w1024_h768.jpg,2024-01-05,111200.0,8276,1178,2,0,3,36107,Alabama,Montgomery,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1
97,1948,2938-McQueen-St_Montgomery_AL_36107_M77933-45485,65000.0,7793345485,2961378333,https://ap.rdcpix.com/f2bc151cdcbd7e543f822bf008e864c2l-m1658512148s-w1024_h768.jpg,2024-01-05,63000.0,7405,1290,1,1,3,36107,Alabama,Montgomery,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
98,1964,3010-Merrimac-Dr_Montgomery_AL_36111_M83525-09580,110000.0,8352509580,2960801836,https://ap.rdcpix.com/c704f914e5df95fd8f584bce195392ccl-m2962031652s-w1024_h768.jpg,2024-01-05,106000.0,16553,2349,2,0,4,36111,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
